NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
5	1	0	NO	0.0067511
5	1	4	YES	0.0000589
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
6	1	4	YES	0.0002230
6	1	4	YES	0.0000218
6	1	4	YES	0.0000594
6	1	5	YES	0.0001669
6	1	4	YES	0.0000875
6	1	4	YES	0.0000103
6	1	4	YES	0.0000390
6	1	4	YES	0.0000827
6	1	4	YES	0.0000996
6	1	4	YES	0.0000698
6	1	4	YES	0.0001157
6	1	4	YES	0.0000555
6	1	4	YES	0.0000454
6	1	4	YES	0.0000515
6	1	4	YES	0.0000424
6	1	5	YES	0.0000979
6	1	4	YES	0.0000457
6	1	4	YES	0.0000291
6	1	4	YES	0.0000611
6	1	4	YES	0.0000662
6	1	4	YES	0.0000240
6	1	4	YES	0.0000573
6	1	4	YES	0.0000561
6	1	4	YES	0.0001027
6	1	4	YES	0.0000375
6	1	5	YES	0.0001387
6	1	4	YES	0.0001000
6	1	4	YES	0.0000282
6	1	4	YES	0.0000795
6	1	4	YES	0.0000653
6	1	4	YES	0.0001628
6	1	4	YES	0.0000477
6	1	5	YES	0.0001410
6	1	4	YES	0.0000747
6	1	5	YES	0.0001460
6	1	4	YES	0.0000559
6	1	4	YES	0.0000739
6	1	4	YES	0.0000840
6	1	4	YES	0.0001050
6	1	4	YES	0.0000559
6	1	4	YES	0.0001051
6	1	4	YES	0.0000227
6	1	4	YES	0.0000360
6	1	4	YES	0.0000232
6	1	4	YES	0.0000583
6	1	4	YES	0.0000840
6	1	4	YES	0.0001209
6	1	4	YES	0.0000273
6	1	4	YES	0.0000839
6	1	4	YES	0.0001006
6	1	4	YES	0.0000368
6	1	4	YES	0.0000286
6	1	4	YES	0.0000255
6	1	4	YES	0.0000986
6	1	4	YES	0.0000906
6	1	4	YES	0.0000653
6	1	4	YES	0.0000627
6	1	5	YES	0.0001011
6	1	5	YES	0.0000904
6	1	4	YES	0.0001335
6	1	4	YES	0.0000576
6	1	4	YES	0.0000571
6	1	4	YES	0.0000630
6	1	0	NO	0.0021524
6	1	4	YES	0.0000115
6	1	4	YES	0.0000973
6	1	0	NO	0.0033338
6	1	0	NO	0.0032750
6	1	0	NO	0.0039763
6	1	4	YES	0.0000705
6	1	4	YES	0.0000492
6	1	4	YES	0.0000376
6	1	4	YES	0.0000605
6	1	4	YES	0.0000697
6	1	4	YES	0.0000522
6	1	4	YES	0.0000688
6	1	0	NO	0.0043936
6	1	4	YES	0.0001008
6	1	4	YES	0.0000491
6	1	4	YES	0.0000620
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
7	1	4	YES	0.0013278
7	1	5	YES	0.0007564
7	1	4	YES	0.0000616
7	1	5	YES	0.0001444
7	1	4	YES	0.0000782
7	1	4	YES	0.0000657
7	1	5	YES	0.0002211
7	1	4	YES	0.0001126
7	1	4	YES	0.0000259
7	1	4	YES	0.0000496
7	1	4	YES	0.0001285
7	1	4	YES	0.0000984
7	1	4	YES	0.0000903
7	1	4	YES	0.0000250
7	1	4	YES	0.0001217
7	1	4	YES	0.0000516
7	1	4	YES	0.0000254
7	1	4	YES	0.0001617
7	1	4	YES	0.0001315
7	1	4	YES	0.0001490
7	1	4	YES	0.0000632
7	1	4	YES	0.0000984
7	1	4	YES	0.0001134
7	1	5	YES	0.0002610
7	1	4	YES	0.0000282
7	1	4	YES	0.0000718
7	1	4	YES	0.0000901
7	1	4	YES	0.0001532
7	1	4	YES	0.0001479
7	1	4	YES	0.0001024
7	1	4	YES	0.0000234
7	1	4	YES	0.0000619
7	1	4	YES	0.0000491
7	1	4	YES	0.0000503
7	1	4	YES	0.0000770
7	1	4	YES	0.0000415
7	1	4	YES	0.0000813
7	1	5	YES	0.0002105
7	1	4	YES	0.0000486
7	1	4	YES	0.0000673
7	1	4	YES	0.0000380
7	1	4	YES	0.0000402
7	1	4	YES	0.0001640
7	1	4	YES	0.0000910
7	1	4	YES	0.0001261
7	1	5	YES	0.0001909
7	1	4	YES	0.0000596
7	1	4	YES	0.0000558
7	1	4	YES	0.0000489
7	1	4	YES	0.0000751
7	1	4	YES	0.0000556
7	1	4	YES	0.0000234
7	1	4	YES	0.0000569
7	1	4	YES	0.0000945
7	1	4	YES	0.0000839
7	1	4	YES	0.0000416
7	1	4	YES	0.0000345
7	1	4	YES	0.0001431
7	1	4	YES	0.0001147
7	1	4	YES	0.0000374
7	1	4	YES	0.0000733
7	1	5	YES	0.0001451
7	1	4	YES	0.0001374
7	1	0	NO	0.0048649
7	1	4	YES	0.0000297
7	1	0	NO	0.0051135
7	1	4	YES	0.0000469
7	1	4	YES	0.0000566
7	1	4	YES	0.0001219
7	1	4	YES	0.0000939
7	1	4	YES	0.0000624
7	1	0	NO	0.0048851
7	1	4	YES	0.0001641
7	1	4	YES	0.0000531
7	1	4	YES	0.0000922
7	1	4	YES	0.0000213
7	1	0	NO	0.0048193
7	1	5	YES	0.0001592
7	1	4	YES	0.0000445
7	1	0	NO	0.0049550
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
8	1	4	YES	0.0002850
8	1	4	YES	0.0002823
8	1	4	YES	0.0000668
8	1	5	YES	0.0001516
8	1	5	YES	0.0001633
8	1	4	YES	0.0000159
